Título,Puesto,Expertise,Empresa,Modalidad,Sector,Ubicación,Descripción,Servicios,Otro Idioma,EntornoTEC,Beneficios,Habilidades,Herramientas,Educación
data engineer madridbarcelona,Data Engineer,Regular,,,,Madrid,"Una consultora de datos líder en Europa busca un Data Engineer Senior para unirse a su equipo en Madrid o Barcelona. En esta emocionante posición, participarás en proyectos innovadores, colaborando con empresas de renombre y utilizando tecnologías de vanguardia como AWS, Azure y GCP. Con un enfoque en modelado de datos y ETL, tu experiencia será clave para el éxito de la empresa. Ofrecemos un entorno de trabajo híbrido, un salario competitivo y un plan de retribución flexible que incluye beneficios adicionales. Si estás listo para dar el siguiente paso en tu carrera, esta es la oportunidad perfecta para ti.","['Seguros de salud Tickets restaurant Guardería', ' A W S Azure G C P Modelado de datos E T L B B D D S Q L Inglés alto', ' A W S Glue A W S S3 A W S Redshift A W S Lambda Snowflake']",,,,,"Azure, Snowflake",
data engineer,Data Engineer,Regular,,,,Madrid,Sin descripción,[],,,,,,
data scientist procesamiento de datos,Data Scientist,Regular,,,,Madrid,"Una empresa líder en servicios de BPO y Contact Center está en búsqueda de un Data Scientist para un importante banco. En esta posición, tendrás la oportunidad de desarrollar modelos predictivos y analíticos que optimizarán los procesos del banco, así como identificar patrones que mejoren la eficiencia y reduzcan errores. Con un ambiente de trabajo dinámico y un enfoque en la igualdad y diversidad, esta es una oportunidad emocionante para contribuir a un proyecto significativo. Además, disfrutarás de un horario flexible con opción de teletrabajo, lo que te permitirá equilibrar tu vida laboral y personal mientras haces una diferencia en el sector financiero.","['Teletrabajo híbrido Salario competitivo Comida subvencionada Horario flexible', ' Técnicas multivariantes de predicción y clasificación Lenguaje H T M L S Q L Python R Studio Metodología Six-Sigma Gestión de bases de datos Excel Avanzado P P T Avanzado Power B I Conocimientos en Contabilidad y finanzas']",,,,,"Python, R, Excel",
l992 machine learning engineer hybrid intelligence team,Machine Learning Engineer,Regular,,,,Madrid,"Una empresa líder en ingeniería busca un Desarrollador de Machine Learning para liderar proyectos innovadores en procesamiento del lenguaje natural. Este rol desafiante implica el desarrollo de modelos de machine learning y la optimización de algoritmos para mejorar la detección de ambigüedades en textos. Trabajarás en un entorno colaborativo, integrando soluciones con expertos de diversas disciplinas. Con un compromiso con la inclusión y la igualdad de oportunidades, esta organización ofrece un ambiente dinámico donde tus habilidades en IA y NLP serán fundamentales para el avance tecnológico. ¡Únete a un equipo que está a la vanguardia de la innovación!","['Contrato indefinido24 días de vacaciones Seguro de Vida y Accidentes Ticket restaurante Plan de Compensación Flexible Formación continua Formación en idiomas', ' Python Machine Learning (M L) Natural Language Processing (N L P) Tensorflow Scikit Learn Spacy Stanza Gate N L P Inglés (mínimo C1)', ' Grado en Ingeniería Informática Grado en Estadística Grado en Matemáticas']",,,,Machine Learning,"Python, Tensorflow","Grado, Grado, Grado"
datastage data engineer developer,Data Engineer,Regular,,,,Madrid,"Join a forward-thinking company as a Data Engineer and elevate your career in big data! In this pivotal role, you'll be responsible for developing and maintaining innovative data platforms. Your expertise in DataStage and strong analytical skills will help you build robust data pipelines that transform and prepare data from various sources. Collaborating with IT operations and business analysts, you'll ensure seamless solutions and contribute to Agile processes. This is a fantastic opportunity to work in a dynamic environment where your contributions will drive data excellence and innovation. If you're ready to make an impact, apply now!","[' Data Stage Linux Red Hat S Q L Agile methodology Relationship management Problem-solving Team collaboration', ' Oracle J I R A Confluence G I T']",,Datastage,,,R,
data engineer,Data Engineer,Regular,,,,Madrid,"Una empresa tecnológica de RRHH busca un Data Engineer para unirse a su equipo. Este rol híbrido ofrece la oportunidad de trabajar en proyectos innovadores utilizando tecnologías avanzadas como Data Vault, SQL y herramientas de reporting. Serás parte de un equipo que valora la proactividad y el aprendizaje continuo, donde tu contribución ayudará a optimizar procesos de evaluación de talento. Si tienes pasión por la tecnología y deseas crecer en un entorno colaborativo, esta es tu oportunidad de hacer una diferencia significativa en el sector.","['Contrato indefinido Jornada híbrida de 2 días en oficina Salario competitivo', ' Modelado Data Vault S Q L Oracle Postgresql Snowflake D B T Airflow Power B I Python Liquibase Kafka Jenkins C I / C D', ' Grado en Informática o similar']",,,,,"Snowflake, Python",Grado
data analyst salesforce crm analytics,Data Analyst,Regular,,,,Madrid,"Una consultora innovadora busca un Data Analyst con experiencia en Salesforce CRM Analytics. En esta emocionante posición, serás parte de un equipo altamente cualificado, contribuyendo a proyectos estables y desafiantes. Trabajarás con herramientas de análisis de datos y colaborarás en la implementación de soluciones efectivas. Con la flexibilidad de un trabajo 100% remoto y oportunidades de formación, esta es una gran oportunidad para crecer profesionalmente en un entorno dinámico y colaborativo. Si tienes pasión por los datos y la tecnología, esta oferta es para ti.","['Retribución flexible Planes de formación Trabajo 100% remoto Asistencia puntual a oficinas', ' Salesforce C R M Analytics Power B I Tableau Qlik Einstein Discovery E T Ls (Informatica Cloud, Power Center, Talend) Datalakes (Snowflake, Azure, A W S)']",,"Salesforce, CRM, Analytics",,,"R, Tableau, Snowflake, Azure",
m993 data analyst,Data Analyst,Regular,,,,Madrid,"Una empresa multinacional líder busca un Data Analyst talentoso para unirse a su equipo en Madrid. En esta apasionante posición, serás responsable de analizar las necesidades de datos del cliente, diseñar soluciones técnicas y desarrollar procesos de ETL. Con un enfoque en el desarrollo de modelos multidimensionales y la administración de plataformas de Business Intelligence, tendrás la oportunidad de impactar en proyectos significativos. Si tienes experiencia en SQL, Python y herramientas como Spark y Kafka, y deseas formar parte de un entorno dinámico y colaborativo, esta es la oportunidad perfecta para ti.","[' S Q L Python Spark Git Kafka', ' Ingeniería informática Telecomunicaciones', ' E T L Business Intelligence']",,,,Business Intelligence,Python,
configurations analyst,Data Analyst,Regular,,,,Madrid,"Join an innovative company in hypergrowth as a Configurations Analyst, where your analytical skills and attention to detail will drive efficient processes in payment solutions. In this pivotal role, you will ensure data integrity and compliance while enhancing the customer experience through seamless integrations. With a collaborative work culture that values creativity and growth, you will have the opportunity to develop your skills and advance in your career. Enjoy the perks of a hybrid work model, additional holidays, and health insurance while contributing to a meaningful impact in the world of payments.","['Opportunities for growth Additional holidays Health insurance Free lunch Free afternoon on your birthday Free language classes Free Multisport card', ' Analytical skills Attention to detail Data protection knowledge Microsoft Windows (10/11) M S Office Jira Freshdesk Communication skills Learning agility', ' Degree', ' Jira Freshdesk']",,,,,,
data analyst salesforce crm analytics,Data Analyst,Regular,,,,Madrid,"Una consultora europea líder busca un Data Analyst con experiencia en Salesforce CRM Analytics. Esta posición ofrece la oportunidad de unirse a un equipo altamente cualificado en un entorno 100% remoto, con un enfoque en proyectos estables y el desarrollo profesional continuo. Los candidatos ideales tendrán experiencia en herramientas de BI y un sólido conocimiento de los productos de Einstein dentro de Salesforce. Si te apasiona la analítica de datos y deseas contribuir a proyectos innovadores, esta es la oportunidad perfecta para ti.","['Retribución flexible Planes de formación Trabajo 100% remoto Asistencia puntual a oficinas', ' C R M Analytics Salesforce Einstein Discovery Power B I Tableau Qlik E T Ls datalakes', ' Informatica Cloud Power Center Talend Snowflake Azure A W S']",,"Salesforce, CRM, Analytics",,,"R, Tableau, Snowflake, Azure",
